"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-01","0.00",,"48","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-02","0.21",,"41","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-03","0.58",,"43","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-04","0.00",,"52","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-05","0.00",,"34","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-06","0.05",,"33","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-07","0.32",,"26","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-08","0.00",,"25","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-09","0.00",,"23","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-10","0.00",,"46","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-11","0.52",,"52","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-12","0.05",,"66","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-13","0.00",,"62","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-14","0.12",,"34","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-15","0.00",,"38","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-16","0.00",,"43","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-17","0.35",,"42","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-18","0.06",,"41","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-19","0.00",,"49","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-20","0.10",,"45","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-21","0.00",,"49","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-22","0.05",,"48","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-23","1.16",,"44","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-24","1.18",,"38","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-25","0.00",,"51","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-26","0.02",,"56","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-27","0.00",,"43","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-28","0.00",,"39","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-29","0.00",,"43","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-30","0.00",,"37","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-31","0.06",,"34","26"
