"","bbl, address_1, city, state","No_Match"
"1","4052941001, 36-20 168 Street, New York, New York","No_Match"
"2","411850001, 62-10 Northern Boulevard, New York, New York","No_Match"
"3","3069401103, 2121 Shore Parkway, New York, New York","No_Match"
"4","3001761002, 85 Smith Street, New York, New York","No_Match"
"5","1013030022, 517 Lexington Ave., New York, New York","No_Match"
"6","3001560007, 177 Livingston Street, New York, New York","No_Match"
"7","1012670026, 11 w 51st street, New York, New York","No_Match"
"8","3054200089, 45 Hawthorne Street, New York, New York","No_Match"
"9","1001970011, 139 Centre Street, New York, New York","No_Match"
"400","4008900001, 19-19 24th ave, New York, New York","No_Match"
"401","3002440011, 189 Montague Street, New York, New York","No_Match"
"402","1002121301, 50 VARICK ST, New York, New York","No_Match"
"403","1007671501, 210 W 18TH ST, New York, New York","No_Match"
"404","1010601101, 430 W 51 ST, New York, New York","No_Match"
"405","1009620099, 450 East 29th Street, New York, New York","No_Match"
"406","1004840017, 503-511 Broadway, New York, New York","No_Match"
"407","1006910029, 153-01 10th Ave, New York, New York","No_Match"
"300","1018300005, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"301","1018300006, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"302","1018300007, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"303","1018300008, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"304","1018300009, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"305","1018300012, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"306","1018300013, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"307","1018300014, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"308","1018300015, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"309","1018300016, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"310","1018300017, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"311","1018300018, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"312","1000330022, 99 Wall Street, New York, New York","No_Match"
"313","1011189001, 60 West 66th St., New York, New York","No_Match"
"314","1016280037, 1810 3rd Avenue, New York, New York","No_Match"
"315","1016290020, 1595 Lexington Avenue, New York, New York","No_Match"
"316","3087208005, 90 Oceana Drive West, New York, New York","No_Match"
"317","1010630061, 810 10th Avenue, New York, New York","No_Match"
"318","2097670082, 1227 WHITE PLAINS RO, New York, New York","No_Match"
"319","1010851001, 770 11th Avenue, New York, New York","No_Match"
"320","1010851011, 770 11th Avenue, New York, New York","No_Match"
"200","1010200001, 790 8th Avenue, New York, New York","No_Match"
"321","2019257501, 970 Kent Avenue, New York, New York","No_Match"
"201","4097380113, 143-20 Hoover Avenue, New York, New York","No_Match"
"322","2029560008, 1950 Prospect Avenue, 760-770 East Tremont Avenue, New York, New York","No_Match"
"202","1016150001, 1280 Fifth Avenue, New York, New York","No_Match"
"323","1010510001, 450 West 42nd Street, New York, New York","No_Match"
"203","3025490005, 122 West Street, New York, New York","No_Match"
"324","4050667502, 40-20 College Point Boulevard, New York, New York","No_Match"
"204","1005380027, 238 Thompson Street, New York, New York","No_Match"
"325","4050667503, 40-20 College Point Boulevard, New York, New York","No_Match"
"205","1008260037, 1101 Broadway, New York, New York","No_Match"
"326","1005659021, 1 Union Square South, New York, New York","No_Match"
"206","4750200549, 30-11 21 Street, New York, New York","No_Match"
"327","2023570001, 610 Exterior Street, New York, New York","No_Match"
"207","2204770015, 1040 Gerard Avenue, New York, New York","No_Match"
"328","1007400030, 305 W 16th St., New York, New York","No_Match"
"208","1019540024, 311 West 127th Street, New York, New York","No_Match"
"329","1019900023, 1100 Amsterdam, New York, New York","No_Match"
"209","1006310001, 277 West 10th Street, New York, New York","No_Match"
"330","1019950072, 560 Riverside Dr, New York, New York","No_Match"
"210","1007580073, 256 West 36th Street, New York, New York","No_Match"
"331","1008971001, 205 East 16th St., New York, New York","No_Match"
"211","1050800039, 1 St Paul's Court, New York, New York","No_Match"
"332","1008971002, 205 East 16th St., New York, New York","No_Match"
"212","1051210012, 200 E. 18th Street, New York, New York","No_Match"
"333","1008971003, 205 East 16th St., New York, New York","No_Match"
"213","1052200058, 2015 Foster Avenue, New York, New York","No_Match"
"334","1008971004, 205 East 16th St., New York, New York","No_Match"
"214","3013050040, 958 Nostrand Ave., New York, New York","No_Match"
"335","1008971005, 205 East 16th St., New York, New York","No_Match"
"215","3058040061, 155 Linden Blvd, New York, New York","No_Match"
"336","1008971006, 205 East 16th St., New York, New York","No_Match"
"216","1010380037, 306 West 48th Street, New York, New York","No_Match"
"337","1008971007, 205 East 16th St., New York, New York","No_Match"
"217","4004200101, 42-09 28 St, New York, New York","No_Match"
"338","1008971008, 205 East 16th St., New York, New York","No_Match"
"218","4045040412, 1806 East Gun Hill Road, New York, New York","No_Match"
"339","1008971009, 205 East 16th St., New York, New York","No_Match"
"219","2026970035, 920 Westchester Avenue, New York, New York","No_Match"
"340","1008971010, 205 East 16th St., New York, New York","No_Match"
"220","1005960001, 570 Washington Street, New York, New York","No_Match"
"341","1008971011, 205 East 16th St., New York, New York","No_Match"
"100","1010130001, 640 8th Ave, New York, New York","No_Match"
"221","1012720036, 724 5th, New York, New York","No_Match"
"342","1008971012, 205 East 16th St., New York, New York","No_Match"
"101","2027620097, 1314 Seneca Avenue, New York, New York","No_Match"
"222","4049720043, 37-20 Prince Street, New York, New York","No_Match"
"343","1008971013, 205 East 16th St., New York, New York","No_Match"
"102","1018480047, 301 West 115th Street, 2131 8th Avenue, New York, New York","No_Match"
"223","1018880043, 270 RIVERSIDE DRIVE, New York, New York","No_Match"
"344","1008971014, 205 East 16th St., New York, New York","No_Match"
"103","1014060001, 737 Park Ave, New York, New York","No_Match"
"224","1008210001, 636 Sixth Ave, New York, New York","No_Match"
"345","1008971015, 205 East 16th St., New York, New York","No_Match"
"104","1006070027, 130 West 12th Street, New York, New York","No_Match"
"225","2023530262, 2857 Sedgwick Ave, New York, New York","No_Match"
"346","1008971016, 205 East 16th St., New York, New York","No_Match"
"105","1014837501, 524 East 72nd Street, New York, New York","No_Match"
"226","3001580000, 490 Fulton Street, New York, New York","No_Match"
"347","1008971017, 205 East 16th St., New York, New York","No_Match"
"106","1012090033, 356-360 Central Park West, New York, New York","No_Match"
"227","2067680054, 1695 East 21st Street, New York, New York","No_Match"
"348","1008971018, 205 East 16th St., New York, New York","No_Match"
"107","3001450035, 248 Duffield St, New York, New York","No_Match"
"228","2022260019, 190 E. 206th Street, New York, New York","No_Match"
"349","1008971019, 205 East 16th St., New York, New York","No_Match"
"108","1007880056, 214 West 39th Street, New York, New York","No_Match"
"229","3022640040, 446 Marcy Ave, New York, New York","No_Match"
"109","1014630031, 436 E 69 St, New York, New York","No_Match"
"350","1008971020, 205 East 16th St., New York, New York","No_Match"
"230","1007639008, 347 West 39th Street, New York, New York","No_Match"
"351","1008971021, 205 East 16th St., New York, New York","No_Match"
"110","1014060054, 999 Lexington Avenue, New York, New York","No_Match"
"231","3008940011, 1420 Noble Ave, New York, New York","No_Match"
"352","1008971022, 205 East 16th St., New York, New York","No_Match"
"111","1005100045, 295 Lafayette, New York, New York","No_Match"
"232","3023350014, 142 North 6th Street, New York, New York","No_Match"
"353","1008971023, 205 East 16th St., New York, New York","No_Match"
"112","1014990061, 12 East 88th Street, New York, New York","No_Match"
"233","4049590010, 35-15 Farrington Street, New York, New York","No_Match"
"354","1008971024, 205 East 16th St., New York, New York","No_Match"
"113","1015151102, 120 East 87th Street, New York, New York","No_Match"
"234","3050230035, 143-55 41st Avenue, New York, New York","No_Match"
"355","1008971025, 205 East 16th St., New York, New York","No_Match"
"114","1011700001, 2211 Broadway, New York, New York","No_Match"
"235","1012180029, 101 West 87th Street, New York, New York","No_Match"
"356","1008971026, 205 East 16th St., New York, New York","No_Match"
"115","1020460001, 305 West 150 Street, New York, New York","No_Match"
"236","1008370068, 45 West 36th Street, New York, New York","No_Match"
"357","1008971027, 205 East 16th St., New York, New York","No_Match"
"116","1009999062, 1568 Broadway, New York, New York","No_Match"
"237","1003730056, 299 E 3rd Street, New York, New York","No_Match"
"358","1008971028, 205 East 16th St., New York, New York","No_Match"
"117","1010160001, 270 West 45th Street, New York, New York","No_Match"
"238","4069000075, 212-30 23rd Ave, New York, New York","No_Match"
"359","1008971029, 205 East 16th St., New York, New York","No_Match"
"118","1104707502, 300 West 57th Street, New York, New York","No_Match"
"239","4013050023, 40-07 73rd Street, New York, New York","No_Match"
"119","1013190005, 205 E 45 St, New York, New York","No_Match"
"10","3006110200, 106 Ferris Street, New York, New York","No_Match"
"11","5023590330, 2975 Richmond Ave., New York, New York","No_Match"
"12","3054740017, 1840 52nd street, New York, New York","No_Match"
"13","1004560006, 407 E 61st, New York, New York","No_Match"
"14","3054687501, 1845 52nd Street, New York, New York","No_Match"
"15","1005960002, 340 WEST ST, New York, New York","No_Match"
"16","1009110017, 227 E 30TH ST, New York, New York","No_Match"
"17","2000243069, 2089 Arthur Avenue, New York, New York","No_Match"
"18","1000101566, 425 E 86th St Apartment, New York, New York","No_Match"
"19","5058437502, 13-34 Estates Ln, New York, New York","No_Match"
"360","1008971030, 205 East 16th St., New York, New York","No_Match"
"240","1040447501, 14-34 110th Street, New York, New York","No_Match"
"361","1008971031, 205 East 16th St., New York, New York","No_Match"
"120","3075760000, 2201 Nostrand Avenue, New York, New York","No_Match"
"241","1013160005, 201/205  East  42nd  st., New York, New York","No_Match"
"362","1008971032, 205 East 16th St., New York, New York","No_Match"
"121","1001420100, 101 Murray St, New York, New York","No_Match"
"242","1014630011, 415 E 68 St, New York, New York","No_Match"
"363","1008971033, 205 East 16th St., New York, New York","No_Match"
"122","2023450025, 1175 Findlay Ave, New York, New York","No_Match"
"243","1009620008, 550 First Avenue, New York, New York","No_Match"
"364","1008971034, 205 East 16th St., New York, New York","No_Match"
"123","2024420025, 338 Berry Street, New York, New York","No_Match"
"244","1002000012, 202 Canal Street, New York, New York","No_Match"
"365","1008971035, 205 East 16th St., New York, New York","No_Match"
"124","3066060026, 1543 w 1st st, New York, New York","No_Match"
"245","1005711101, 25 E 13th Street, New York, New York","No_Match"
"366","1008971036, 205 East 16th St., New York, New York","No_Match"
"125","4002140210, 33-00 Northern Blvd, New York, New York","No_Match"
"246","1005700000, 25 E 13th Street, New York, New York","No_Match"
"367","3025780014, 236 Greenpoint Avenue, New York, New York","No_Match"
"126","4099500038, 183-11 Hillside Ave, New York, New York","No_Match"
"247","1000160190, 22 RIVER TERRACE, New York, New York","No_Match"
"368","3025780022, 236 Greenpoint Avenue, New York, New York","No_Match"
"127","1008190006, 55 West 17, New York, New York","No_Match"
"248","1007600026, 315 W 36th, New York, New York","No_Match"
"369","3018920051, 74 Grand Avenue, New York, New York","No_Match"
"128","1005520022, 33 Washington Square West, New York, New York","No_Match"
"249","1003530035, 105 Norfolk Street, New York, New York","No_Match"
"129","1003851102, 252 E 2nd Street, New York, New York","No_Match"
"20","1012800480, 4411 Broadway, New York, New York","No_Match"
"21","5029860023, 390-430 Maryalnd Ave, New York, New York","No_Match"
