"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	Births	Average Birth Weight
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"37 weeks"	"37"	16	3094.75
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"38 weeks"	"38"	50	3222.60
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"39 weeks"	"39"	87	3322.11
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"40 weeks"	"40"	63	3387.84
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"41 weeks"	"41"	37	3596.73
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"36 weeks"	"36"	14	2638.50
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"37 weeks"	"37"	15	2966.33
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"38 weeks"	"38"	34	3426.35
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"39 weeks"	"39"	57	3445.60
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"40 weeks"	"40"	49	3578.82
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"41 weeks"	"41"	22	3654.36
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"36 weeks"	"36"	11	3013.64
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"37 weeks"	"37"	19	3159.05
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"38 weeks"	"38"	60	3285.68
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"39 weeks"	"39"	78	3339.77
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"40 weeks"	"40"	73	3489.21
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"41 weeks"	"41"	23	3834.52
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"37 weeks"	"37"	21	3070.33
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"38 weeks"	"38"	40	3330.75
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"39 weeks"	"39"	85	3498.09
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"40 weeks"	"40"	62	3493.82
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"41 weeks"	"41"	28	3738.75
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"37 weeks"	"37"	22	3146.09
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"38 weeks"	"38"	48	3130.02
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"39 weeks"	"39"	72	3495.35
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"40 weeks"	"40"	71	3474.13
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"41 weeks"	"41"	29	3695.93
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"36 weeks"	"36"	12	2693.83
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"37 weeks"	"37"	13	2793.08
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"38 weeks"	"38"	44	3201.50
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"39 weeks"	"39"	72	3316.85
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"40 weeks"	"40"	63	3652.97
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"41 weeks"	"41"	30	3659.90
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"37 weeks"	"37"	17	2917.59
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"38 weeks"	"38"	53	3242.06
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"39 weeks"	"39"	77	3453.01
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"40 weeks"	"40"	79	3611.85
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"41 weeks"	"41"	38	3666.82
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"37 weeks"	"37"	17	2988.53
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"38 weeks"	"38"	46	3183.57
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"39 weeks"	"39"	82	3433.89
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"40 weeks"	"40"	66	3514.82
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"41 weeks"	"41"	34	3762.38
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"36 weeks"	"36"	11	2402.91
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"37 weeks"	"37"	23	2836.78
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"38 weeks"	"38"	51	3206.69
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"39 weeks"	"39"	77	3435.16
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"40 weeks"	"40"	63	3510.60
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"41 weeks"	"41"	22	3657.91
