"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Tobacco Use"	"Tobacco Use Code"	Births	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"Yes"	"1"	34	2944.91	26.79	39.00	38.50
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"No"	"2"	244	3288.72	28.77	38.97	38.84
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"Yes"	"1"	16	3203.81	26.25	38.56	37.94
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"No"	"2"	190	3305.96	29.13	38.57	38.46
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"Yes"	"1"	33	3192.18	27.06	38.88	38.64
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"No"	"2"	254	3321.34	29.43	38.65	38.48
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"Yes"	"1"	23	3048.52	26.09	38.04	37.48
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"No"	"2"	243	3348.57	29.46	38.79	38.71
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"Yes"	"1"	29	3125.21	26.69	38.00	38.45
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"No"	"2"	237	3331.66	28.92	38.83	38.54
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"Yes"	"1"	32	3061.88	26.56	37.97	38.16
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"No"	"2"	230	3237.83	29.44	38.43	38.39
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"Yes"	"1"	27	3159.63	26.74	38.85	38.52
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"No"	"2"	260	3399.32	28.44	38.93	38.90
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"Yes"	"1"	23	2989.50	26.09	37.00	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"No"	"2"	255	3328.73	29.04	38.73	38.74
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"Yes"	"1"	32	3058.72	26.59	39.00	38.75
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"No"	"2"	238	3272.46	28.57	38.75	38.55
