"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	Births	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"37 weeks"	"37"	16	3094.75	28.81	37.31	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"38 weeks"	"38"	50	3222.60	30.32	38.12	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"39 weeks"	"39"	87	3322.11	28.02	39.16	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"40 weeks"	"40"	63	3387.84	28.29	40.30	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	"41 weeks"	"41"	37	3596.73	27.49	40.84	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"36 weeks"	"36"	14	2638.50	27.50	36.00	36.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"37 weeks"	"37"	15	2966.33	27.93	37.33	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"38 weeks"	"38"	34	3426.35	30.74	37.88	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"39 weeks"	"39"	57	3445.60	29.72	39.00	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"40 weeks"	"40"	49	3578.82	28.04	40.24	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	"41 weeks"	"41"	22	3654.36	25.18	41.09	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"36 weeks"	"36"	11	3013.64	30.18	36.00	36.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"37 weeks"	"37"	19	3159.05	30.32	37.47	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"38 weeks"	"38"	60	3285.68	30.05	38.38	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"39 weeks"	"39"	78	3339.77	29.28	39.09	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"40 weeks"	"40"	73	3489.21	28.40	40.11	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	"41 weeks"	"41"	23	3834.52	28.09	41.13	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"37 weeks"	"37"	21	3070.33	27.29	37.33	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"38 weeks"	"38"	40	3330.75	29.30	38.48	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"39 weeks"	"39"	85	3498.09	30.42	39.09	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"40 weeks"	"40"	62	3493.82	28.23	39.71	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	"41 weeks"	"41"	28	3738.75	28.54	41.29	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"37 weeks"	"37"	22	3146.09	29.77	37.32	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"38 weeks"	"38"	48	3130.02	28.46	38.25	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"39 weeks"	"39"	72	3495.35	29.12	39.12	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"40 weeks"	"40"	71	3474.13	27.63	40.04	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	"41 weeks"	"41"	29	3695.93	27.76	40.59	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"36 weeks"	"36"	12	2693.83	28.25	36.25	36.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"37 weeks"	"37"	13	2793.08	27.31	37.15	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"38 weeks"	"38"	44	3201.50	30.00	38.05	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"39 weeks"	"39"	72	3316.85	28.35	39.03	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"40 weeks"	"40"	63	3652.97	30.51	39.90	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	"41 weeks"	"41"	30	3659.90	28.83	40.80	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"37 weeks"	"37"	17	2917.59	25.12	36.94	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"38 weeks"	"38"	53	3242.06	29.94	38.25	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"39 weeks"	"39"	77	3453.01	28.66	38.90	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"40 weeks"	"40"	79	3611.85	27.94	40.16	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	"41 weeks"	"41"	38	3666.82	28.61	40.79	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"37 weeks"	"37"	17	2988.53	26.29	36.82	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"38 weeks"	"38"	46	3183.57	28.91	37.98	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"39 weeks"	"39"	82	3433.89	28.98	38.99	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"40 weeks"	"40"	66	3514.82	28.33	40.17	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	"41 weeks"	"41"	34	3762.38	27.79	40.76	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"36 weeks"	"36"	11	2402.91	29.36	36.18	36.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"37 weeks"	"37"	23	2836.78	26.78	37.52	37.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"38 weeks"	"38"	51	3206.69	29.22	38.33	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"39 weeks"	"39"	77	3435.16	28.97	39.25	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"40 weeks"	"40"	63	3510.60	28.06	39.83	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	"41 weeks"	"41"	22	3657.91	26.27	41.14	41.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"36 weeks"	"36"	10	2577.50	28.60	35.90	36.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"38 weeks"	"38"	47	3164.98	30.70	38.28	38.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"39 weeks"	"39"	82	3455.67	29.41	39.05	39.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"40 weeks"	"40"	57	3492.49	28.82	40.12	40.00
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	"41 weeks"	"41"	34	3723.24	27.15	40.88	41.00
