"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"Albany County, NY"	"36001"	"2007"	"2007"	"January"	"1"	280	3241.24	28.46	38.96	38.78
	"Albany County, NY"	"36001"	"2007"	"2007"	"February"	"2"	208	3294.79	28.86	38.56	38.41
	"Albany County, NY"	"36001"	"2007"	"2007"	"March"	"3"	287	3306.39	29.15	38.68	38.50
	"Albany County, NY"	"36001"	"2007"	"2007"	"April"	"4"	267	3320.58	29.18	38.73	38.61
	"Albany County, NY"	"36001"	"2007"	"2007"	"May"	"5"	268	3308.75	28.64	38.74	38.54
	"Albany County, NY"	"36001"	"2007"	"2007"	"June"	"6"	262	3216.34	29.09	38.37	38.36
	"Albany County, NY"	"36001"	"2007"	"2007"	"July"	"7"	288	3377.74	28.30	38.92	38.86
	"Albany County, NY"	"36001"	"2007"	"2007"	"August"	"8"	278	3301.79	28.80	38.58	38.59
	"Albany County, NY"	"36001"	"2007"	"2007"	"September"	"9"	272	3240.44	28.35	38.77	38.56
	"Albany County, NY"	"36001"	"2007"	"2007"	"October"	"10"	255	3333.96	29.21	38.91	38.82
	"Albany County, NY"	"36001"	"2007"	"2007"	"November"	"11"	242	3256.23	28.70	38.64	38.56
	"Albany County, NY"	"36001"	"2007"	"2007"	"December"	"12"	254	3334.74	28.32	38.62	38.37
"Total"	"Albany County, NY"	"36001"	"2007"	"2007"			3161	3294.87	28.75	38.71	38.59
	"Albany County, NY"	"36001"	"2008"	"2008"	"January"	"1"	249	3208.80	28.26	38.30	37.99
	"Albany County, NY"	"36001"	"2008"	"2008"	"February"	"2"	225	3304.45	28.94	38.88	38.67
	"Albany County, NY"	"36001"	"2008"	"2008"	"March"	"3"	251	3295.21	28.76	38.66	38.49
	"Albany County, NY"	"36001"	"2008"	"2008"	"April"	"4"	275	3371.78	29.51	38.85	38.60
	"Albany County, NY"	"36001"	"2008"	"2008"	"May"	"5"	251	3282.76	29.00	38.74	38.53
	"Albany County, NY"	"36001"	"2008"	"2008"	"June"	"6"	239	3268.65	29.16	38.63	38.50
	"Albany County, NY"	"36001"	"2008"	"2008"	"July"	"7"	264	3347.55	29.09	38.78	38.72
	"Albany County, NY"	"36001"	"2008"	"2008"	"August"	"8"	283	3286.62	28.76	38.70	38.50
	"Albany County, NY"	"36001"	"2008"	"2008"	"September"	"9"	287	3288.16	28.51	38.77	38.65
	"Albany County, NY"	"36001"	"2008"	"2008"	"October"	"10"	288	3238.38	28.50	38.80	38.53
	"Albany County, NY"	"36001"	"2008"	"2008"	"November"	"11"	223	3250.08	28.72	38.27	38.15
	"Albany County, NY"	"36001"	"2008"	"2008"	"December"	"12"	250	3409.34	29.01	38.96	38.81
"Total"	"Albany County, NY"	"36001"	"2008"	"2008"			3085	3296.36	28.85	38.70	38.52
	"Albany County, NY"	"36001"	"2009"	"2009"	"January"	"1"	270	3252.82	28.29	38.41	38.29
	"Albany County, NY"	"36001"	"2009"	"2009"	"February"	"2"	261	3333.81	28.93	39.01	38.81
	"Albany County, NY"	"36001"	"2009"	"2009"	"March"	"3"	276	3314.07	28.53	38.54	38.46
	"Albany County, NY"	"36001"	"2009"	"2009"	"April"	"4"	253	3354.62	28.85	38.96	38.90
	"Albany County, NY"	"36001"	"2009"	"2009"	"May"	"5"	289	3349.61	28.99	38.84	38.84
	"Albany County, NY"	"36001"	"2009"	"2009"	"June"	"6"	263	3306.98	27.52	38.44	38.40
	"Albany County, NY"	"36001"	"2009"	"2009"	"July"	"7"	280	3250.57	28.67	38.49	38.40
	"Albany County, NY"	"36001"	"2009"	"2009"	"August"	"8"	251	3209.22	28.62	38.39	38.26
	"Albany County, NY"	"36001"	"2009"	"2009"	"September"	"9"	265	3308.30	28.46	38.83	38.60
	"Albany County, NY"	"36001"	"2009"	"2009"	"October"	"10"	229	3319.98	28.59	38.67	38.54
	"Albany County, NY"	"36001"	"2009"	"2009"	"November"	"11"	231	3239.06	28.85	38.80	38.57
