"","county","county_code","year","year_code","month","month_code","oe_gestational_age_weekly","oe_gestational_age_weekly_code","births","average_birth_weight"
"1","Albany County, NY",36001,2007,2007,"January",1,"37 weeks",37,16,3094.75
"2","Albany County, NY",36001,2007,2007,"January",1,"38 weeks",38,50,3222.6
"3","Albany County, NY",36001,2007,2007,"January",1,"39 weeks",39,87,3322.11
"4","Albany County, NY",36001,2007,2007,"January",1,"40 weeks",40,63,3387.84
"5","Albany County, NY",36001,2007,2007,"January",1,"41 weeks",41,37,3596.73
"6","Albany County, NY",36001,2007,2007,"February",2,"36 weeks",36,14,2638.5
"7","Albany County, NY",36001,2007,2007,"February",2,"37 weeks",37,15,2966.33
"8","Albany County, NY",36001,2007,2007,"February",2,"38 weeks",38,34,3426.35
"9","Albany County, NY",36001,2007,2007,"February",2,"39 weeks",39,57,3445.6
"10","Albany County, NY",36001,2007,2007,"February",2,"40 weeks",40,49,3578.82
"11","Albany County, NY",36001,2007,2007,"February",2,"41 weeks",41,22,3654.36
"12","Albany County, NY",36001,2007,2007,"March",3,"36 weeks",36,11,3013.64
"13","Albany County, NY",36001,2007,2007,"March",3,"37 weeks",37,19,3159.05
"14","Albany County, NY",36001,2007,2007,"March",3,"38 weeks",38,60,3285.68
"15","Albany County, NY",36001,2007,2007,"March",3,"39 weeks",39,78,3339.77
"16","Albany County, NY",36001,2007,2007,"March",3,"40 weeks",40,73,3489.21
"17","Albany County, NY",36001,2007,2007,"March",3,"41 weeks",41,23,3834.52
"18","Albany County, NY",36001,2007,2007,"April",4,"37 weeks",37,21,3070.33
"19","Albany County, NY",36001,2007,2007,"April",4,"38 weeks",38,40,3330.75
"20","Albany County, NY",36001,2007,2007,"April",4,"39 weeks",39,85,3498.09
"21","Albany County, NY",36001,2007,2007,"April",4,"40 weeks",40,62,3493.82
"22","Albany County, NY",36001,2007,2007,"April",4,"41 weeks",41,28,3738.75
"23","Albany County, NY",36001,2007,2007,"May",5,"37 weeks",37,22,3146.09
"24","Albany County, NY",36001,2007,2007,"May",5,"38 weeks",38,48,3130.02
"25","Albany County, NY",36001,2007,2007,"May",5,"39 weeks",39,72,3495.35
"26","Albany County, NY",36001,2007,2007,"May",5,"40 weeks",40,71,3474.13
"27","Albany County, NY",36001,2007,2007,"May",5,"41 weeks",41,29,3695.93
"28","Albany County, NY",36001,2007,2007,"June",6,"36 weeks",36,12,2693.83
"29","Albany County, NY",36001,2007,2007,"June",6,"37 weeks",37,13,2793.08
"30","Albany County, NY",36001,2007,2007,"June",6,"38 weeks",38,44,3201.5
"31","Albany County, NY",36001,2007,2007,"June",6,"39 weeks",39,72,3316.85
"32","Albany County, NY",36001,2007,2007,"June",6,"40 weeks",40,63,3652.97
"33","Albany County, NY",36001,2007,2007,"June",6,"41 weeks",41,30,3659.9
"34","Albany County, NY",36001,2007,2007,"July",7,"37 weeks",37,17,2917.59
"35","Albany County, NY",36001,2007,2007,"July",7,"38 weeks",38,53,3242.06
"36","Albany County, NY",36001,2007,2007,"July",7,"39 weeks",39,77,3453.01
"37","Albany County, NY",36001,2007,2007,"July",7,"40 weeks",40,79,3611.85
"38","Albany County, NY",36001,2007,2007,"July",7,"41 weeks",41,38,3666.82
"39","Albany County, NY",36001,2007,2007,"August",8,"37 weeks",37,17,2988.53
"40","Albany County, NY",36001,2007,2007,"August",8,"38 weeks",38,46,3183.57
"41","Albany County, NY",36001,2007,2007,"August",8,"39 weeks",39,82,3433.89
"42","Albany County, NY",36001,2007,2007,"August",8,"40 weeks",40,66,3514.82
"43","Albany County, NY",36001,2007,2007,"August",8,"41 weeks",41,34,3762.38
"44","Albany County, NY",36001,2007,2007,"September",9,"36 weeks",36,11,2402.91
"45","Albany County, NY",36001,2007,2007,"September",9,"37 weeks",37,23,2836.78
"46","Albany County, NY",36001,2007,2007,"September",9,"38 weeks",38,51,3206.69
"47","Albany County, NY",36001,2007,2007,"September",9,"39 weeks",39,77,3435.16
"48","Albany County, NY",36001,2007,2007,"September",9,"40 weeks",40,63,3510.6
"49","Albany County, NY",36001,2007,2007,"September",9,"41 weeks",41,22,3657.91
"50","Albany County, NY",36001,2007,2007,"October",10,"36 weeks",36,10,2577.5
"51","Albany County, NY",36001,2007,2007,"October",10,"38 weeks",38,47,3164.98
"52","Albany County, NY",36001,2007,2007,"October",10,"39 weeks",39,82,3455.67
"53","Albany County, NY",36001,2007,2007,"October",10,"40 weeks",40,57,3492.49
"54","Albany County, NY",36001,2007,2007,"October",10,"41 weeks",41,34,3723.24
"55","Albany County, NY",36001,2007,2007,"November",11,"37 weeks",37,20,2953.45
"56","Albany County, NY",36001,2007,2007,"November",11,"38 weeks",38,41,3214.46
"57","Albany County, NY",36001,2007,2007,"November",11,"39 weeks",39,62,3350.87
"58","Albany County, NY",36001,2007,2007,"November",11,"40 weeks",40,66,3473.61
"59","Albany County, NY",36001,2007,2007,"November",11,"41 weeks",41,27,3558.96
"60","Albany County, NY",36001,2007,2007,"December",12,"37 weeks",37,22,3146.41
"61","Albany County, NY",36001,2007,2007,"December",12,"38 weeks",38,52,3413.4
