"","county","county_code","year_code","month_code","preterm","non_preterm"
"1","Albany County, NY","36001",2007,1,16,237
"2","Albany County, NY","36001",2007,2,29,162
"3","Albany County, NY","36001",2007,3,30,234
"4","Albany County, NY","36001",2007,4,21,215
"5","Albany County, NY","36001",2007,5,22,220
"6","Albany County, NY","36001",2007,6,25,209
"7","Albany County, NY","36001",2007,7,17,247
"8","Albany County, NY","36001",2007,8,17,228
"9","Albany County, NY","36001",2007,9,34,213
"10","Albany County, NY","36001",2007,10,10,220
"11","Albany County, NY","36001",2007,11,20,196
"12","Albany County, NY","36001",2007,12,22,203
"13","Albany County, NY","36001",2008,1,24,183
"14","Albany County, NY","36001",2008,2,21,181
"15","Albany County, NY","36001",2008,3,32,197
"16","Albany County, NY","36001",2008,4,26,232
"17","Albany County, NY","36001",2008,5,0,222
"18","Albany County, NY","36001",2008,6,27,194
"19","Albany County, NY","36001",2008,7,18,223
"20","Albany County, NY","36001",2008,8,32,229
"21","Albany County, NY","36001",2008,9,37,231
"22","Albany County, NY","36001",2008,10,19,231
"23","Albany County, NY","36001",2008,11,25,169
"24","Albany County, NY","36001",2008,12,21,213
"25","Albany County, NY","36001",2009,1,31,213
"26","Albany County, NY","36001",2009,2,14,225
"27","Albany County, NY","36001",2009,3,26,223
"28","Albany County, NY","36001",2009,4,16,219
"29","Albany County, NY","36001",2009,5,19,248
"30","Albany County, NY","36001",2009,6,16,213
"31","Albany County, NY","36001",2009,7,32,224
"32","Albany County, NY","36001",2009,8,43,186
"33","Albany County, NY","36001",2009,9,14,232
"34","Albany County, NY","36001",2009,10,19,186
"35","Albany County, NY","36001",2009,11,29,186
"36","Albany County, NY","36001",2009,12,26,212
"37","Albany County, NY","36001",2010,1,14,203
"38","Albany County, NY","36001",2010,2,29,190
"39","Albany County, NY","36001",2010,3,25,214
"40","Albany County, NY","36001",2010,4,14,216
"41","Albany County, NY","36001",2010,5,21,201
"42","Albany County, NY","36001",2010,6,13,227
"43","Albany County, NY","36001",2010,7,25,222
"44","Albany County, NY","36001",2010,8,24,200
"45","Albany County, NY","36001",2010,9,16,224
"46","Albany County, NY","36001",2010,10,17,214
"47","Albany County, NY","36001",2010,11,34,179
"48","Albany County, NY","36001",2010,12,27,219
"49","Albany County, NY","36001",2011,1,19,210
"50","Albany County, NY","36001",2011,2,34,201
