"","id","latitude","longitude","elevation","name"
"1","US1NYAB0001",42.667,-74.0509,445,"ALTAMONT 2.7 SSW"
"2","US1NYAB0006",42.7198,-73.9304,88.7,"SCHENECTADY 5.6 SSW"
"3","US1NYAB0010",42.5455,-74.1475,488.3,"RENSSELAERVILLE 2.1 NNW"
"4","US1NYAB0016",42.759,-73.737,104.2,"LATHAM 1.1 NNE"
"5","US1NYAB0017",42.6678,-73.7856,65.5,"ALBANY 0.7 E"
"6","US1NYAB0021",42.6918,-73.8311,79.2,"NWS ALBANY"
"7","US1NYAB0022",42.7038,-73.8118,87.8,"COLONIE 1.6 SE"
"8","US1NYAB0023",42.6602,-73.8103,78,"ALBANY 0.7 SW"
"9","US1NYAB0025",42.6721,-73.914,94.8,"VOORHEESVILLE 2.0 NNE"
"10","US1NYAB0028",42.7243,-73.757,120.1,"LATHAM 1.5 SSW"
"11","US1NYAB0029",42.6193,-73.8203,64.9,"DELMAR 0.8 ESE"
"12","US1NYAB0032",42.5754,-73.7995,54.6,"GLENMONT 2.5 SW"
"13","US1NYAB0037",42.7686,-73.6911,18,"COHOES 0.9 ESE"
"14","US1NYAB0039",42.6624,-73.7907,66.4,"ALBANY 0.5 ESE"
"15","US1NYAB0041",42.6641,-73.7935,64.9,"ALBANY 0.3 ESE"
"16","US1NYAB0042",42.5041,-73.8981,219.8,"COEYMANS HOLLOW 2.1 N"
"17","US1NYAL0002",42.2705,-77.9419,555.7,"WEST ALMOND 3.6 SW"
"18","US1NYAL0003",42.2495,-78.2998,478.5,"CUBA 2.5 NNW"
"19","US1NYAL0007",42.1215,-77.9534,452,"WELLSVILLE 0.3 W"
"20","US1NYAL0009",42.2093,-78.1317,457.5,"FRIENDSHIP 0.6 ENE"
"21","US1NYBM0001",42.193,-75.848,280.7,"CHENANGO FORKS 3.0 SE"
"22","US1NYBM0002",42.2333,-75.7833,231.6,"FENTON 2.4 NE"
"23","US1NYBM0004",42.0296,-76.0213,317,"ENDICOTT 5.2 SSE"
"24","US1NYBM0005",42.1333,-75.7833,243.8,"PORT DICKINSON 5.6 E"
"25","US1NYBM0006",42.0667,-75.95,354.8,"BINGHAMTON 3.2 SW"
"26","US1NYBM0007",42.0493,-76.0288,303,"VESTAL 2.8 SSE"
"27","US1NYBM0010",42.35,-75.9,348.1,"WHITNEY POINT 3.7 ENE"
"28","US1NYBM0011",42.0735,-75.9296,412.1,"BINGHAMTON 1.8 SW"
"29","US1NYBM0014",42.3084,-75.9569,385.9,"WHITNEY POINT 1.7 SSE"
"30","US1NYBM0019",42.3442,-75.8635,425.8,"TRIANGLE 0.9 ENE"
"31","US1NYBM0021",42.0099,-75.5142,507.8,"WINDSOR 8.0 SE"
"32","US1NYBM0023",42.1972,-75.8347,268.5,"CHENANGO BRIDGE 2.5 NE"
"33","US1NYBM0024",42.1098,-75.8858,259.4,"BINGHAMTON 1.3 ENE"
"34","US1NYBM0026",42.1127,-76.013,293.5,"ENDWELL 0.6 ESE"
"35","US1NYBM0032",42.1415,-75.889,272.2,"BINGHAMTON 2.9 NNE"
"36","US1NYBM0034",42.0826,-75.9912,423.7,"VESTAL 3.2 E"
"37","US1NYBM0037",42.1405,-75.9116,272.2,"BINGHAMTON 2.7 N"
"38","US1NYBM0040",42.0796,-76.051,264.6,"VESTAL 0.4 SSE"
"39","US1NYCB0001",42.1335,-73.7679,90.8,"HUDSON 8.2 S"
"40","US1NYCB0006",42.4727,-73.6439,100.9,"NORTH CHATHAM 0.6 W"
"41","US1NYCB0008",42.1331,-73.7854,73.8,"LIVINGSTON 0.7 SSW"
"42","US1NYCB0009",42.2617,-73.5416,377,"HILLSDALE 5.8 S"
"43","US1NYCL0002",44.6231,-73.5602,143.3,"SCHUYLER FALLS 0.2 NNW"
"44","US1NYCL0005",44.9848,-73.3639,30.5,"ROUSES POINT 0.5 SSE"
"45","US1NYCL0007",44.5646,-73.4539,55.2,"PERU 4.1 ESE"
"46","US1NYCL0008",44.7091,-73.5876,180.1,"MORRISONVILLE 1.5 NW"
"47","US1NYCL0012",44.6398,-73.7385,253,"SARANAC 0.8 SSE"
"48","US1NYCM0002",42.0833,-76.8,579.1,"ELMIRA 0.9 SE"
"49","US1NYCM0003",42.0839,-76.7881,256,"ELMIRA 1.3 ESE"
"50","US1NYCM0004",42.0167,-76.85,454.2,"SOUTHPORT 3.8 SSW"
"51","US1NYCM0005",42.15,-76.95,304.8,"BIG FLATS 1.1 WNW"
"52","US1NYCM0006",42.089,-76.7489,341.4,"ELMIRA 3.2 E"
"53","US1NYCM0007",42.083,-76.8462,271.3,"WEST ELMIRA 0.5 SSE"
"54","US1NYCM0008",42.15,-76.8167,271.9,"HORSEHEADS 1.5 SSE"
"55","US1NYCM0010",42.2,-76.55,182.9,"VAN ETTEN 0.3 ENE"
"56","US1NYCM0012",42.1437,-76.9512,281.9,"HORSEHEADS"
"57","US1NYCM0013",42.0975,-76.8231,269.4,"ELMIRA 0.7 WNW"
"58","US1NYCM0014",42.1707,-76.8435,287.1,"HORSEHEADS 0.7 W"
"59","US1NYCM0017",42.0022,-76.8308,484,"PINE CITY 3.1 SE"
"60","US1NYCM0019",42.1734,-76.8604,301.4,"HORSEHEADS 1.6 W"
"61","US1NYCM0020",42.1325,-76.8159,265.5,"HORSEHEADS 2.7 SSE"
"62","US1NYCM0021",42.1021,-76.8304,284.1,"ELMIRA 1.2 WNW"
"63","US1NYCM0023",42.1824,-76.8349,287.7,"HORSEHEADS 0.9 NNW"
"64","US1NYCM0024",42.0913,-76.6281,325.8,"CHEMUNG 5.7 N"
"65","US1NYCN0002",42.5833,-75.4333,548.6,"NORWICH 5.7 NE"
"66","US1NYCN0003",42.3333,-75.7667,276.1,"GREENE 0.3 NE"
"67","US1NYCN0006",42.3225,-75.7507,342,"GREENE 1.2 ESE"
"68","US1NYCN0008",42.726,-75.462,384,"SHERBURNE 3.6 NNE"
"69","US1NYCN0009",42.5336,-75.6306,456.6,"NORWICH 5.4 W"
"70","US1NYCN0011",42.699,-75.6121,383.1,"SMYRNA 2.4 WNW"
"71","US1NYCN0013",42.412,-75.5037,480.4,"GUILFORD 0.9 NW"
"72","US1NYCN0014",42.4516,-75.6017,379.2,"OXFORD 0.8 NNW"
"73","US1NYCN0016",42.2872,-75.5363,348.7,"BAINBRIDGE 2.9 WSW"
"74","US1NYCN0018",42.2124,-75.4238,550.2,"BAINBRIDGE 6.5 SSE"
"75","US1NYCQ0005",42.1594,-79.0967,391.4,"KENNEDY 0.3 NE"
"76","US1NYCQ0006",42.4474,-79.2045,356.3,"FORESTVILLE 2.1 SW"
"77","US1NYCQ0007",42.0015,-79.13,429.2,"FREWSBURG 4.3 SSE"
"78","US1NYCQ0010",42.4825,-79.3428,188.1,"DUNKIRK 5.8 S"
"79","US1NYCQ0012",42.0957,-79.2013,463.9,"JAMESTOWN 1.8 E"
"80","US1NYCQ0015",42.1621,-79.5885,477,"SHERMAN 0.4 ENE"
"81","US1NYCQ0017",42.446,-79.1371,430.4,"FORESTVILLE 2.5 SE"
"82","US1NYCQ0019",42.2127,-79.7555,392.6,"RIPLEY 4.3 SSW"
"83","US1NYCQ0021",42.016,-79.1249,441,"FREWSBURG 3.4 SSE"
"84","US1NYCQ0022",42.4441,-79.3461,207.3,"FREDONIA 0.8 WNW"
"85","US1NYCQ0034",42.1257,-79.0723,478.5,"KENNEDY 2.6 SE"
"86","US1NYCR0001",42.533,-76.0211,476.7,"FREETOWN 1.0 NE"
"87","US1NYCR0003",42.4739,-75.8725,427.3,"WILLET 1.8 E"
"88","US1NYCR0005",42.4516,-76.0437,313.9,"MARATHON 1.0 NW"
"89","US1NYCR0008",42.4407,-76.049,376.7,"MARATHON 0.7 WSW"
"90","US1NYCR0010",42.6038,-76.1637,336.8,"CORTLAND 0.8 ENE"
"91","US1NYCR0013",42.5658,-76.2053,417.9,"CORTLAND 2.8 SSW"
"92","US1NYCT0002",42.1706,-78.9612,406.9,"RANDOLPH 1.1 ENE"
"93","US1NYCT0003",42.2847,-78.3115,486.5,"CUBA 4.9 NNW"
"94","US1NYCT0005",42.0013,-78.3595,441,"PORTVILLE 2.6 SSW"
"95","US1NYCT0006",42.092,-78.413,469.7,"OLEAN 1.2 NE"
"96","US1NYCT0007",42.224,-78.4299,586.1,"HINSDALE 4.4 NW"
"97","US1NYCT0010",42.1659,-78.9324,431.6,"RANDOLPH 2.4 E"
"98","US1NYCT0011",42.1587,-78.4905,508.1,"ALLEGANY 4.7 N"
"99","US1NYCT0012",42.3312,-78.4615,481.6,"FRANKLINVILLE 0.4 SW"
"100","US1NYCT0014",42.46,-79,378.9,"PERRYSBURG 0.1 ENE"
"101","US1NYCT0015",42.4012,-78.6092,469.4,"WEST VALLEY 0.1 SE"
"102","US1NYCT0021",42.2647,-78.801,518.2,"LITTLE VALLEY 1.1 N"
"103","US1NYCT0022",42.3417,-78.4528,488.6,"FRANKLINVILLE 0.5 NNE"
"104","US1NYCT0025",42.243,-78.3964,466,"ISCHUA 0.4 SSE"
"105","US1NYCY0001",42.739,-76.657,259.1,"AURORA 2.8 ESE"
"106","US1NYCY0002",42.8966,-76.6727,158.5,"CAYUGA 3.2 ESE"
"107","US1NYCY0003",42.9333,-76.65,155.4,"CAYUGA 4.1 ENE"
"108","US1NYCY0004",42.6569,-76.4336,246.9,"LOCKE 0.3 SW"
"109","US1NYCY0005",43.142,-76.6889,122.2,"DUCK LAKE"
"110","US1NYCY0008",42.8287,-76.4867,320,"AUBURN 8.3 SSE"
"111","US1NYCY0009",42.7031,-76.4202,230.1,"MORAVIA 0.6 S"
"112","US1NYCY0010",43.2237,-76.6107,121.6,"MARTVILLE 4.0 SSE"
"113","US1NYCY0013",42.7051,-76.3751,466,"MORAVIA 2.5 ESE"
"114","US1NYCY0014",42.9752,-76.7072,143.9,"CAYUGA 4.0 NNE"
"115","US1NYCY0021",43.0381,-76.6303,121.3,"PORT BYRON 0.2 WNW"
"116","US1NYCY0024",42.6295,-76.412,397.2,"LOCKE 2.4 SSE"
"117","US1NYCY0026",42.7864,-76.7034,152.7,"AURORA 2.4 N"
"118","US1NYCY0027",42.7349,-76.3114,532.2,"MORAVIA 5.9 ENE"
"119","US1NYDL0001",42.2519,-74.9874,518.2,"DELHI 4.2 WSW"
"120","US1NYDL0003",42.4189,-74.621,609.6,"STAMFORD 0.7 NNW"
"121","US1NYDL0004",42.3667,-74.95,562.1,"DELHI 6.3 NNW"
