field_1,id,latitude,longitude,elevation,name,COUNTYFP,COUNTYNS,GEOID,NAME_1
1,US1NYAB0001,42.66700,-74.05090,445.00000,ALTAMONT 2.7 SSW,001,00974099,36001,Albany
2,US1NYAB0006,42.71980,-73.93040,88.70000,SCHENECTADY 5.6 SSW,001,00974099,36001,Albany
3,US1NYAB0010,42.54550,-74.14750,488.30000,RENSSELAERVILLE 2.1 NNW,001,00974099,36001,Albany
4,US1NYAB0016,42.75900,-73.73700,104.20000,LATHAM 1.1 NNE,001,00974099,36001,Albany
5,US1NYAB0017,42.66780,-73.78560,65.50000,ALBANY 0.7 E,001,00974099,36001,Albany
6,US1NYAB0021,42.69180,-73.83110,79.20000,NWS ALBANY,001,00974099,36001,Albany
7,US1NYAB0022,42.70380,-73.81180,87.80000,COLONIE 1.6 SE,001,00974099,36001,Albany
8,US1NYAB0023,42.66020,-73.81030,78.00000,ALBANY 0.7 SW,001,00974099,36001,Albany
9,US1NYAB0025,42.67210,-73.91400,94.80000,VOORHEESVILLE 2.0 NNE,001,00974099,36001,Albany
10,US1NYAB0028,42.72430,-73.75700,120.10000,LATHAM 1.5 SSW,001,00974099,36001,Albany
11,US1NYAB0029,42.61930,-73.82030,64.90000,DELMAR 0.8 ESE,001,00974099,36001,Albany
12,US1NYAB0032,42.57540,-73.79950,54.60000,GLENMONT 2.5 SW,001,00974099,36001,Albany
13,US1NYAB0037,42.76860,-73.69110,18.00000,COHOES 0.9 ESE,001,00974099,36001,Albany
14,US1NYAB0039,42.66240,-73.79070,66.40000,ALBANY 0.5 ESE,001,00974099,36001,Albany
15,US1NYAB0041,42.66410,-73.79350,64.90000,ALBANY 0.3 ESE,001,00974099,36001,Albany
16,US1NYAB0042,42.50410,-73.89810,219.80000,COEYMANS HOLLOW 2.1 N,001,00974099,36001,Albany
17,US1NYAL0002,42.27050,-77.94190,555.70000,WEST ALMOND 3.6 SW,003,00974100,36003,Allegany
18,US1NYAL0003,42.24950,-78.29980,478.50000,CUBA 2.5 NNW,003,00974100,36003,Allegany
19,US1NYAL0007,42.12150,-77.95340,452.00000,WELLSVILLE 0.3 W,003,00974100,36003,Allegany
20,US1NYAL0009,42.20930,-78.13170,457.50000,FRIENDSHIP 0.6 ENE,003,00974100,36003,Allegany
21,US1NYBM0001,42.19300,-75.84800,280.70000,CHENANGO FORKS 3.0 SE,007,00974102,36007,Broome
